plant,phase,toal_water_production,day,value
Al-Jubail,MSF-Phase2,Desal05,2022-05-10,27940
Al-Jubail,MSF-Phase2,Desal05,2022-05-11,27708
Al-Jubail,MSF-Phase2,Desal05,2022-05-12,27983
Al-Jubail,MSF-Phase2,Desal05,2022-05-13,28377
Al-Jubail,MSF-Phase2,Desal05,2022-05-14,28231
Al-Jubail,MSF-Phase2,Desal05,2022-05-15,27908
Al-Jubail,MSF-Phase2,Desal05,2022-05-16,28122
Al-Jubail,MSF-Phase2,Desal05,2022-05-17,16944
Al-Jubail,MSF-Phase2,Desal05,2022-05-18,4137
Al-Jubail,MSF-Phase2,Desal05,2022-05-19,27366
Al-Jubail,MSF-Phase2,Desal05,2022-05-20,27648
Al-Jubail,MSF-Phase2,Desal05,2022-05-21,28388
Al-Jubail,MSF-Phase2,Desal05,2022-05-22,28124
Al-Jubail,MSF-Phase2,Desal05,2022-05-23,28034
Al-Jubail,MSF-Phase2,Desal05,2022-05-24,28054
Al-Jubail,MSF-Phase2,Desal05,2022-05-25,27962
Al-Jubail,MSF-Phase2,Desal05,2022-05-26,27969
Al-Jubail,MSF-Phase2,Desal05,2022-05-27,27953
Al-Jubail,MSF-Phase2,Desal05,2022-05-28,27969
Al-Jubail,MSF-Phase2,Desal05,2022-05-29,20102
Al-Jubail,MSF-Phase2,Desal05,2022-05-30,1174
Al-Jubail,MSF-Phase2,Desal05,2022-05-31,26710
Al-Jubail,MSF-Phase2,Desal06,2022-05-01,27259
Al-Jubail,MSF-Phase2,Desal06,2022-05-02,27276
Al-Jubail,MSF-Phase2,Desal06,2022-05-03,27038
Al-Jubail,MSF-Phase2,Desal06,2022-05-04,26344
Al-Jubail,MSF-Phase2,Desal06,2022-05-05,25793
Al-Jubail,MSF-Phase2,Desal06,2022-05-06,26779
Al-Jubail,MSF-Phase2,Desal06,2022-05-07,26585
Al-Jubail,MSF-Phase2,Desal06,2022-05-08,26878
Al-Jubail,MSF-Phase2,Desal06,2022-05-09,26696
Al-Jubail,MSF-Phase2,Desal06,2022-05-10,26596
Al-Jubail,MSF-Phase2,Desal06,2022-05-11,26622
Al-Jubail,MSF-Phase2,Desal06,2022-05-12,26264
Al-Jubail,MSF-Phase2,Desal06,2022-05-13,26729
Al-Jubail,MSF-Phase2,Desal06,2022-05-14,26934
Al-Jubail,MSF-Phase2,Desal06,2022-05-15,26846
Al-Jubail,MSF-Phase2,Desal06,2022-05-16,26763
Al-Jubail,MSF-Phase2,Desal06,2022-05-17,16283
Al-Jubail,MSF-Phase2,Desal06,2022-05-18,8672
Al-Jubail,MSF-Phase2,Desal06,2022-05-19,26443
Al-Jubail,MSF-Phase2,Desal06,2022-05-20,26845
Al-Jubail,MSF-Phase2,Desal06,2022-05-21,27066
Al-Jubail,MSF-Phase2,Desal06,2022-05-22,27039
Al-Jubail,MSF-Phase2,Desal06,2022-05-23,27024
Al-Jubail,MSF-Phase2,Desal06,2022-05-24,27007
Al-Jubail,MSF-Phase2,Desal06,2022-05-25,27088
Al-Jubail,MSF-Phase2,Desal06,2022-05-26,27053
Al-Jubail,MSF-Phase2,Desal06,2022-05-27,26993
Al-Jubail,MSF-Phase2,Desal06,2022-05-28,27029
Al-Jubail,MSF-Phase2,Desal06,2022-05-29,19408
Al-Jubail,MSF-Phase2,Desal06,2022-05-30,30
Al-Jubail,MSF-Phase2,Desal06,2022-05-31,22421
Al-Jubail,MSF-Phase2,Desal07,2022-05-01,28117
Al-Jubail,MSF-Phase2,Desal07,2022-05-02,27855
Al-Jubail,MSF-Phase2,Desal07,2022-05-03,27798
Al-Jubail,MSF-Phase2,Desal07,2022-05-04,27694
Al-Jubail,MSF-Phase2,Desal07,2022-05-05,27817
Al-Jubail,MSF-Phase2,Desal07,2022-05-06,27671
Al-Jubail,MSF-Phase2,Desal07,2022-05-07,27733
Al-Jubail,MSF-Phase2,Desal07,2022-05-08,27948
Al-Jubail,MSF-Phase2,Desal07,2022-05-09,27718
Al-Jubail,MSF-Phase2,Desal07,2022-05-10,27827
Al-Jubail,MSF-Phase2,Desal07,2022-05-11,27554
Al-Jubail,MSF-Phase2,Desal07,2022-05-12,27624
Al-Jubail,MSF-Phase2,Desal07,2022-05-13,27700
Al-Jubail,MSF-Phase2,Desal07,2022-05-14,27835
Al-Jubail,MSF-Phase2,Desal07,2022-05-15,27483
Al-Jubail,MSF-Phase2,Desal07,2022-05-16,27457
Al-Jubail,MSF-Phase2,Desal07,2022-05-17,16733
Al-Jubail,MSF-Phase2,Desal07,2022-05-18,12985
Al-Jubail,MSF-Phase2,Desal07,2022-05-19,27305
Al-Jubail,MSF-Phase2,Desal07,2022-05-20,27215
Al-Jubail,MSF-Phase2,Desal07,2022-05-21,27817
Al-Jubail,MSF-Phase2,Desal07,2022-05-22,27862
Al-Jubail,MSF-Phase2,Desal07,2022-05-23,28025
Al-Jubail,MSF-Phase2,Desal07,2022-05-24,28136
Al-Jubail,MSF-Phase2,Desal07,2022-05-25,28106
Al-Jubail,MSF-Phase2,Desal07,2022-05-26,28141
Al-Jubail,MSF-Phase2,Desal07,2022-05-27,28075
Al-Jubail,MSF-Phase2,Desal07,2022-05-28,27933
Al-Jubail,MSF-Phase2,Desal07,2022-05-29,20301
Al-Jubail,MSF-Phase2,Desal07,2022-05-30,819
Al-Jubail,MSF-Phase2,Desal07,2022-05-31,26678
Al-Jubail,MSF-Phase2,Desal08,2022-05-01,26977
Al-Jubail,MSF-Phase2,Desal08,2022-05-02,26848
Al-Jubail,MSF-Phase2,Desal08,2022-05-03,26778
Al-Jubail,MSF-Phase2,Desal08,2022-05-04,26739
Al-Jubail,MSF-Phase2,Desal08,2022-05-05,26736
Al-Jubail,MSF-Phase2,Desal08,2022-05-06,26681
Al-Jubail,MSF-Phase2,Desal08,2022-05-07,26676
Al-Jubail,MSF-Phase2,Desal08,2022-05-08,26936
Al-Jubail,MSF-Phase2,Desal08,2022-05-09,26806
Al-Jubail,MSF-Phase2,Desal08,2022-05-10,26652
Al-Jubail,MSF-Phase2,Desal08,2022-05-11,26375
Al-Jubail,MSF-Phase2,Desal08,2022-05-12,26519
Al-Jubail,MSF-Phase2,Desal08,2022-05-13,26556
Al-Jubail,MSF-Phase2,Desal08,2022-05-14,26693
Al-Jubail,MSF-Phase2,Desal08,2022-05-15,26541
Al-Jubail,MSF-Phase2,Desal08,2022-05-16,26439
Al-Jubail,MSF-Phase2,Desal08,2022-05-17,16294
